id,aggregate,n_turns,answer_copying,no_elaboration,no_error_correction,no_questioning,verbatim_reuse
0,0.0,8,0,0,,0,
1,0.0,12,0,0,,0,0.0
3,0.0,4,0,0,,0,
4,1.6666666666666667,8,2,2,,1,
5,0.0,4,0,0,,0,
6,1.75,6,2,2,2.0,1,
7,2.0,6,2,2,,2,
9,1.75,8,2,2,2.0,1,
10,0.0,4,0,0,,0,
11,0.0,6,0,0,,0,
12,0.0,12,0,0,,0,
13,0.6666666666666666,4,2,0,,0,
14,0.6666666666666666,6,2,0,,0,
15,0.0,6,0,0,,0,
16,0.6666666666666666,4,2,0,,0,
17,0.3333333333333333,6,0,1,,0,
18,0.0,6,0,0,,0,
19,0.6666666666666666,4,2,0,,0,
20,0.0,8,0,0,,0,
21,0.0,10,0,0,0.0,0,
22,1.5,8,2,2,2.0,0,
23,0.0,8,0,0,,0,
24,0.0,8,0,0,,0,
25,0.0,4,0,0,,0,
26,0.0,8,0,0,,0,
27,0.0,6,0,0,,0,
28,0.6666666666666666,8,2,0,,0,
29,0.0,8,0,0,,0,
30,0.0,12,0,0,,0,
31,1.6666666666666667,4,2,2,,1,
32,0.0,6,0,0,,0,
33,0.0,6,0,0,,0,
34,0.0,6,0,0,,0,
37,0.0,6,0,0,,0,
38,0.75,14,0,1,2.0,0,
39,2.0,4,2,2,,2,
40,0.0,8,0,0,,0,
41,2.0,4,2,2,,2,2.0
42,1.0,8,0,2,2.0,0,
43,0.0,8,0,0,0.0,0,
44,1.3333333333333333,6,0,2,,2,
45,0.0,12,0,0,,0,
46,0.6666666666666666,4,2,0,,0,
47,0.0,6,0,0,,0,
48,0.0,6,0,0,,0,
49,1.6666666666666667,6,2,2,,1,
50,0.0,8,0,0,,0,
51,0.6666666666666666,6,2,0,,0,
52,1.3333333333333333,8,2,2,,0,
53,0.0,4,0,0,,0,
54,1.3333333333333333,8,2,2,,0,
55,1.3333333333333333,4,2,2,,0,
56,0.3333333333333333,6,0,1,,0,
57,0.0,8,0,0,,0,
58,0.0,4,0,0,,0,
59,1.3333333333333333,6,0,2,,2,
60,0.0,8,0,0,,0,
61,0.0,4,0,0,,0,
62,0.6666666666666666,4,2,0,,0,
63,0.0,8,0,0,,0,
64,0.0,10,0,0,,0,
65,1.8,4,2,2,2.0,1,2.0
67,1.3333333333333333,6,0,2,,2,
68,0.6666666666666666,6,0,2,,0,
69,0.0,4,0,0,,0,
70,0.3333333333333333,4,0,1,,0,
71,1.6666666666666667,6,2,2,,1,
72,0.0,6,0,0,0.0,0,
73,0.0,6,0,0,,0,
75,0.0,6,0,0,0.0,0,0.0
76,0.0,8,0,0,,0,
77,0.0,6,0,0,,0,
78,0.0,6,0,0,,0,
79,1.75,6,2,2,2.0,1,
80,1.75,12,2,2,2.0,1,
81,1.3333333333333333,4,2,0,,2,
82,0.0,4,0,0,,0,
83,0.0,6,0,0,,0,
84,0.0,6,0,0,,0,
85,0.6666666666666666,6,2,0,,0,
87,0.6666666666666666,8,2,0,,0,
88,0.5,8,2,0,0.0,0,
89,0.0,8,0,0,,0,
90,1.8,8,2,2,2.0,1,2.0
91,0.0,8,0,0,0.0,0,
92,0.0,8,0,0,,0,
93,0.0,6,0,0,,0,
95,0.3333333333333333,4,0,1,,0,
96,1.6666666666666667,4,2,2,,1,
97,2.0,6,2,2,,2,
98,0.0,8,0,0,,0,
99,0.0,12,0,0,0.0,0,
